Designator,Pin,PinName,Net,Category,Description
R27,1,,RCT,电阻,电阻类型:厚膜电阻;阻值:82Ω;精度:±1%;功率:62.5mW;
R27,2,,RXN,电阻,电阻类型:厚膜电阻;阻值:82Ω;精度:±1%;功率:62.5mW;
R29,1,,RXP,电阻,电阻类型:厚膜电阻;阻值:82Ω;精度:±1%;功率:62.5mW;
R29,2,,RCT,电阻,电阻类型:厚膜电阻;阻值:82Ω;精度:±1%;功率:62.5mW;
R35,1,,ERTHER_3V3,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±5%;功率:62.5mW;
R35,2,,$6N136,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±5%;功率:62.5mW;
R36,1,,ERTHER_3V3,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±5%;功率:62.5mW;
R36,2,,$6N138,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±5%;功率:62.5mW;
R31,1,,GND,电阻,电阻类型:厚膜电阻;阻值:12.4kΩ;精度:±1%;功率:62.5mW;
R31,2,,$6N126,电阻,电阻类型:厚膜电阻;阻值:12.4kΩ;精度:±1%;功率:62.5mW;
R33,1,,W5500_3V3,电阻,功率:1/16W;精度:±1%;温度系数:±200ppm/℃;阻值:10Ω;最大工作电压:50V;工作温度范围:-55℃~+155℃;
R33,2,,TCT,电阻,功率:1/16W;精度:±1%;温度系数:±200ppm/℃;阻值:10Ω;最大工作电压:50V;工作温度范围:-55℃~+155℃;
C45,1,,$6N120,电容,容值:4.7uF;精度:±10%;额定电压:10V;材质(温度系数):X5R;
C45,2,,GND,电容,容值:4.7uF;精度:±10%;额定电压:10V;材质(温度系数):X5R;
C47,1,,GND,电容,容值:10nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C47,2,,$6N94,电容,容值:10nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C41,1,,GND,电容,容值:10nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C41,2,,RCT,电容,容值:10nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C46,1,,GND,电容,容值:22nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C46,2,,TCT,电容,容值:22nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C42,1,,RXP,电容,容值:6.8nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C42,2,,RXPNET,电容,容值:6.8nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C40,1,,RXN,电容,容值:6.8nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C40,2,,RXNNET,电容,容值:6.8nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
R26,1,,GND,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R26,2,,MCU_PA15_485_TX_RX_SEL,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R41,1,,$7N3,电阻,电阻类型:厚膜电阻;阻值:22kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R41,2,,$7N4,电阻,电阻类型:厚膜电阻;阻值:22kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R43,1,,AGND,电阻,电阻类型:厚膜电阻;阻值:3.4kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R43,2,,$7N4,电阻,电阻类型:厚膜电阻;阻值:3.4kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
C51,1,,AGND,电容,容值:33pF;精度:±5%;额定电压:50V;温度系数:NP0;
C51,2,,$7N4,电容,容值:33pF;精度:±5%;额定电压:50V;温度系数:NP0;
R42,1,,$7N12,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R42,2,,$7N13,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R38,1,,$7N13,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R38,2,,3V3A,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
D3,1,,OP_-5V,二极管,二极管配置:1对串联式;正向压降(Vf):1.25V@150mA;直流反向耐压(Vr):100V;整流电流:215mA;反向恢复时间(Trr):4ns;
D3,2,,OP_+5V,二极管,二极管配置:1对串联式;正向压降(Vf):1.25V@150mA;直流反向耐压(Vr):100V;整流电流:215mA;反向恢复时间(Trr):4ns;
D3,3,,$7N4,二极管,二极管配置:1对串联式;正向压降(Vf):1.25V@150mA;直流反向耐压(Vr):100V;整流电流:215mA;反向恢复时间(Trr):4ns;
C48,1,,AGND,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C48,2,,OP_+5V,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C52,1,,AGND,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C52,2,,OP_-5V,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
R39,1,,$7N26,电阻,电阻类型:厚膜电阻;阻值:51Ω;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R39,2,,$7N31,电阻,电阻类型:厚膜电阻;阻值:51Ω;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
C50,1,,$7N31,电容,容值:1nF;精度:±10%;额定电压:50V;温度系数:X7R;
C50,2,,AGND,电容,容值:1nF;精度:±10%;额定电压:50V;温度系数:X7R;
C49,1,,OP_+5V,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C49,2,,OP_-5V,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
RF1,1,,AGND,其他,连接器类型:板端;接口类型:内孔;端口数量:1;接口直径:5.25mm;接口长度/高度:14mm;频率-最大值:-;射频系列:SMA;阻抗:-;样式:弯头;工作温度范围:-;
RF1,2,,AGND,其他,连接器类型:板端;接口类型:内孔;端口数量:1;接口直径:5.25mm;接口长度/高度:14mm;频率-最大值:-;射频系列:SMA;阻抗:-;样式:弯头;工作温度范围:-;
RF1,3,,AGND,其他,连接器类型:板端;接口类型:内孔;端口数量:1;接口直径:5.25mm;接口长度/高度:14mm;频率-最大值:-;射频系列:SMA;阻抗:-;样式:弯头;工作温度范围:-;
RF1,4,,AGND,其他,连接器类型:板端;接口类型:内孔;端口数量:1;接口直径:5.25mm;接口长度/高度:14mm;频率-最大值:-;射频系列:SMA;阻抗:-;样式:弯头;工作温度范围:-;
RF1,5,,$7N3,其他,连接器类型:板端;接口类型:内孔;端口数量:1;接口直径:5.25mm;接口长度/高度:14mm;频率-最大值:-;射频系列:SMA;阻抗:-;样式:弯头;工作温度范围:-;
R40,1,,$7N31,电阻,电阻类型:厚膜电阻;阻值:0Ω;精度:±1%;功率:100mW;工作电压:75V;温度系数:-;
R40,2,,MCU_PC1_ADC2_IN11,电阻,电阻类型:厚膜电阻;阻值:0Ω;精度:±1%;功率:100mW;工作电压:75V;温度系数:-;
CN2,1,,VIN,连接器,连接器类型:板端/插座-开口;固定方式:卡扣固定;结构:1x8P;间距:5.08mm;颜色:绿色;安装方式:弯插;排数:1;每排PIN数:8;额定电流:10A;额定电压:300V;线规 - AWG:-;线规 - 平方毫米:-;工作温度:-40℃~+105℃;
CN2,2,,GND,连接器,连接器类型:板端/插座-开口;固定方式:卡扣固定;结构:1x8P;间距:5.08mm;颜色:绿色;安装方式:弯插;排数:1;每排PIN数:8;额定电流:10A;额定电压:300V;线规 - AWG:-;线规 - 平方毫米:-;工作温度:-40℃~+105℃;
CN2,3,,GND,连接器,连接器类型:板端/插座-开口;固定方式:卡扣固定;结构:1x8P;间距:5.08mm;颜色:绿色;安装方式:弯插;排数:1;每排PIN数:8;额定电流:10A;额定电压:300V;线规 - AWG:-;线规 - 平方毫米:-;工作温度:-40℃~+105℃;
CN2,4,,DI1,连接器,连接器类型:板端/插座-开口;固定方式:卡扣固定;结构:1x8P;间距:5.08mm;颜色:绿色;安装方式:弯插;排数:1;每排PIN数:8;额定电流:10A;额定电压:300V;线规 - AWG:-;线规 - 平方毫米:-;工作温度:-40℃~+105℃;
CN2,5,,DI2,连接器,连接器类型:板端/插座-开口;固定方式:卡扣固定;结构:1x8P;间距:5.08mm;颜色:绿色;安装方式:弯插;排数:1;每排PIN数:8;额定电流:10A;额定电压:300V;线规 - AWG:-;线规 - 平方毫米:-;工作温度:-40℃~+105℃;
