Designator,Pin,PinName,Net,Category,Description
SW5,2,,KEY_LEFT,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW5,3,,GND,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW5,4,,GND,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW6,1,,KEY_UP,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW6,2,,KEY_UP,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW6,3,,GND,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW6,4,,GND,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
Q1,1,,$1N5041,三极管,晶体管类型:NPN;集电极电流(Ic):500mA;集射极击穿电压(Vceo):25V;耗散功率(Pd):300mW;直流电流增益(hFE):120@50mA,1.0V;
Q1,2,,GND,三极管,晶体管类型:NPN;集电极电流(Ic):500mA;集射极击穿电压(Vceo):25V;耗散功率(Pd):300mW;直流电流增益(hFE):120@50mA,1.0V;
Q1,3,,$1N5039,三极管,晶体管类型:NPN;集电极电流(Ic):500mA;集射极击穿电压(Vceo):25V;耗散功率(Pd):300mW;直流电流增益(hFE):120@50mA,1.0V;
